name,Latitude,Longitude,Address,description
east side of N Central between Tyler and Allegheny (503) 483-6584,45.59,-122.746,,
in Bottles and Cans at 5916 N Greeley south of Ainsworth,45.566,-122.695,,
north side of N Saratoga west of N Denver (503) 388-9637,45.572,-122.687,,
north side of NE Ainsworth west of NE 8th-9th alley (503) 444-9412,45.566,-122.657,,
north side of NE Killingsworth east of 13th Ave (503) 926-6341,45.562,-122.652,,
west side of NE 8th south of Prescott (503) 926-6188,45.554,-122.657,,
east side of N Williams south of NE Graham (503) 294-5966,45.543,-122.667,,
in Upright Brewing at 7151 NE Prescott,45.556,-122.589,,
(not public) Right 2 Dream Too,45.53,-122.668,,
east side of SE 58th north of Holgate (503) 894-5775,45.490,-122.604,,
north side of SE Taylor east of 23rd Ave (503) 926-6217,45.515,-122.641,,
east side of SE Cesar Chavez south of Steele (503) 946-5227,45.484,-122.623,,
east side of SE 40th south of Woodstock (503) 444-8615,45.479,-122.622,,
north side of SE Clinton west of 27th (503) 212-6803,45.504,-122.638,,
south side of NE Brazee west of 108th (971) 293-2956,45.540,-122.552,,
(not public) Ground Score,45.524,-122.677,,
outside Street Roots at 281 W Burnside east of 3rd (971) 274-5717,45.523,-122.673,,
north side of N Princeton west of Alma (503 412-7092,45.584,-122.742,,
south side of Pearl west of Washington (734) 547-6651,42.242,-83.613,,
Sou’wester Lodge (360) 228-2259,46.329,-124.057,,
23rd just south of Breckenridge (313) 246-9283,42.342,-83.097,,
east side of 42nd Ave S north of S Myrtle (425) 243-1894,47.540,-122.386,,
east side of 48th Ave S south of Thistle (206) 888-6424,47.528,-122.273,,
west side of MLK Jr Way S south of Washington (206) 466-3296,47.601,-122.297,,
